OBJECTID,Station_name,Station_address,Opening_hours,Operator,Number_of_stations,Number_of_plugs,Charger_type,Charger_rating,CHAdeMO,CCS_SAE,Tesla_Fast,Latitude,Longitude,LGANAME,PCODE
"1","Moama Riverside Holiday Park","Corner Cobb Hwy &, Shaw St, Moama, 2731, AUS","Open 24/7","Saascharge International GmbH","1","2","AC",22,"Not specified","Not specified","0",-36.117881,144.756112,"MURRAY RIVER",2731
"2","Moama Bowling Club","7 Blair St, Moama NSW 2731, Australia","Sun - Thu 10am - 1am, Fri - Sat 10am - 2am","Chargebay","2","4","DC",50,"2","2","0",-36.113509,144.757766,"MURRAY RIVER",2731
"3","Moama Bowling Club","7 Blair St, Moama NSW 2731, Australia","Sun - Thu 10am - 1am, Fri - Sat 10am - 2am","Chargebay","1","2","AC",7,"Not specified","Not specified","0",-36.113509,144.757766,"MURRAY RIVER",2731
"4","Meninya Palms Moama","54-56 Meninya Street, Moama NSW 2731","Contact 0354823311 to obtain available hours","Tesla Destination","2","2","AC",22,"Not specified","Not specified","2",-36.111159,144.753904,"MURRAY RIVER",2731
"5","Consoft Automation","3/314 Kiewa St, South Albury NSW 2640, Australia","Office Hours 9-5","Not specified","1","1","AC",Not specified,"Not specified","Not specified","0",-36.09033501,146.9145463,"ALBURY CITY",2640
"6","The Cottage Motor Inn","Cottage Motor Inn, 523 Hume St, South Albury NSW 2640, Australia","Not specified","Not specified","1","2","AC",Not specified,"Not specified","Not specified","0",-36.08536695,146.915784,"ALBURY CITY",2640
"7","Kiewa St Car Park Rooftop","441 Kiewa St, Albury NSW 2640, Australia","6:00 AM - 10:00 PM","NRMA","1","2","DC",50,"1","1","0",-36.083744,146.914742,"ALBURY CITY",2640
"8","Winsor Park Motor Inn","471 Young St, Albury NSW 2640, Australia","Check with staff to use the charger outside office hours","Not specified","1","1","AC",Not specified,"Not specified","Not specified","0",-36.083049,146.923105,"ALBURY CITY",2640
"9","Volt Lane Car Park","Lot 102, Volt Ln, Albury NSW 2640, Australia","Open 24/7","Exploren","2","3","AC",22,"Not specified","Not specified","0",-36.08172229,146.9164814,"ALBURY CITY",2640
"10","520 David St Car Park","520 David St, Albury NSW 2640, Australia","Open 24/7","Exploren","3","5","AC",22,"Not specified","Not specified","0",-36.0806351,146.9216087,"ALBURY CITY",2640
"11","CIRCA 1928 Hotel & Spa","588 - 590 Dean Street, Albury, NSW 2640","Open 24/7","Not specified","1","1","AC",Not specified,"Not specified","Not specified","0",-36.080436,146.914804,"ALBURY CITY",2640
