cartodb_id,suburb,responsible_authority,rest_area_number,rest_area_name,description,construction_date,site_status,latitude,longitude,lga,region,distance_from,road_name,road_number,link_no,carriageway_code,ne_unique,carriageway_configuration,side_of_road,category,vehicle_type,separated_parking_areas_light_heavy,light_vehicle_parking_capacity,light_vehicles_parking_type,heavy_vehicle_parking_capacity,heavy_vehicles_parking_type,entry_taper,exit_taper,shade,sign_non_potable,power_outlets,playground,litter_bins,emergency_phones,accessible,access_direction,lighting,tree_shading,tourist_information,sports_ground,shelter,bbq,picnic_table,toilets,baby_change_facilities,lookout,caravan_disposal,power_supply,driver_reviver,food_available,fuel_available,boat_ramp,pets_allowed,water_supply_type,access_direction_cardinal,guid,last_updated,_ds_write_method,disabled_toilet
276,INVERELL,Council,1830,Jardine Road Bypass Rest Area,,,,-29.7746,151.091,INVERELL,North,2.2km West of Inverell,WARIALDA STREET,12,440,A,"0000012,0440,A1",,Left,Informal Heavy Rest Areas,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,TRUE,,,Prescribed,,,,,,,,0,,,,,,,,,,,,,20250826,,
646,SHADFORTH,Transport for NSW,1248,Shadforth Reserve Rest Area,,,,-33.37535,149.1888,ORANGE,West,0.045km South of Mitchell Hwy junction,WHILEYS JUNCTION-SHADFORTH RD,559,10,A,"0000559,0010,A1",,Left,Other Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,,,,Both,,,,,,,TRUE,2,,,,,,,,,,,Both Directions,,20250826,,
742,BLACK MOUNTAIN,Transport for NSW,1841,Black Mountain Rest Area,,,,-30.3166,151.69,ARMIDALE REGIONAL,North,30.4km North Armidale,New England Highway,9,1250,A,"0000009,1250,A4",,Left,Class 4 Heavy Vehicle Rest Area,Light Vehicle Only,,,,,,,,,,,,,,,Prescribed,,,,,,,,0,,,,,,,,,,,,,20250826,,
173,WILCANNIA,Transport for NSW,1297,Talyawalka Flood Plain Stopping Bay,,,,-31.64773,143.42546,CENTRAL DARLING,West,89.2km West of Emmdale,BARRIER HIGHWAY,8,235,A,"0000008,0235,A2",Main Carriageway,Right,Informal Heavy Rest Areas,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,TRUE,,,Counter,,,,,,,,0,,,,,,,,,,,Both Directions,,20250826,,
67,BYWONG,Transport for NSW,327,Donnelly Rest Area Northbound,,,,-35.16032,149.31846,YASS VALLEY,South,24km North of Canberra,FEDERAL HIGHWAY,3,1031,B,"0000003,1031,B2",Physical Seperation,Left,Class 5 Heavy Vehicle Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,,,,Prescribed,,,,,,,,0,,,,,,,,,,,Eastbound,,20250826,,
275,INVERELL,Council,1920,Inverell Runnymede Drive Rest Area,,,,-29.7809,151.146,INVERELL,North,63.5km West of Glen Innes,GWYDIR HIGHWAY,12,380,A,"0000012,0380,A1",,Right,Class 5 Heavy Vehicle Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,TRUE,,,Both,,,,,,,TRUE,0,,,,,,,,,,,Both Directions,,20250826,,
669,CASSILIS,Transport for NSW,3392,Willy Wally Rest Area,,,Open,-32.06878,150.05633,UPPER HUNTER,North,31.9km from Merriwa,GOLDEN HIGHWAY,27,270,A,"0000027,0270,A2",Main Carriageway,Left,Class 5 Heavy Vehicle Rest Area,HEAVY VEHICLES ONLY,,,,,,,,,,,,TRUE,,,Prescribed,,,,,TRUE,,TRUE,0,,,,,,,,,,,,,20250826,,
784,TYAGARAH,Transport for NSW,552,Tyagarah Rest Area,,,Open,-28.59784,153.54471,BYRON,North,36.2km North of Ballina,PACIFIC HIGHWAY - TYAGARAH,10,3231,B,"0000010,3231,B4",Physical Seperation,Left,Class 4 Heavy Vehicle Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,TRUE,TRUE,,,Prescribed,,,,,,,TRUE,2,,,,,,,,,,,Northbound,,20250826,,TRUE
826,EUNGAI CREEK,Transport for NSW,509,Paddys Rest Rest Area,,,Open,-30.8133,152.871,NAMBUCCA VALLEY,North,38.6km North of Kempsey,PACIFIC HIGHWAY,10,2325,B,"0000010,2325,B2",Physical Seperation,Left,Light Vehicle Only Rest Area,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Both,,,,,,,TRUE,3,,,,,,,,,,,Both Directions,,20250826,,TRUE
472,WENTWORTH,Council,3105,Adams Street Information Bay,,,Open,-34.09341,141.91373,WENTWORTH,West,,ADAMS ST,22,70,A,"0000022,0070,A2",Physical Seperation,Right,Light Vehicle Only Rest Area,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Counter,,,,,,TRUE,TRUE,0,,,,,,,,,,,,,20250826,,
670,CAPERTEE,Council,563,Clarence Pirie Park,,,,-33.14689,149.98452,LITHGOW CITY,West,36.9km from Mudgee turnoff,CASTLEREAGH HIGHWAY,18,1065,A,"0000018,1065,A1",,Left,Class 4 Heavy Vehicle Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,TRUE,TRUE,,,Both,,,,,,,TRUE,2,,,,,,,,,,,Both Directions,,20250826,,TRUE
264,GIBRALTAR RANGE,Transport for NSW,593,Heffrons Lookout Rest Area,,,Open,-29.45025,152.36809,GLEN INNES SEVERN,North,79.4km North of Grafton,GWYDIR HIGHWAY,12,210,A,"0000012,0210,A1",Main Carriageway,Left,Class 5 Heavy Vehicle Rest Area,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Both,,,,,,,,1,,,,,,,,,,,Both Directions,,20250826,,
44,MANTON,Transport for NSW,93,Yass Valley Rest Area,,,,-34.83729,149.01338,YASS VALLEY,South,71km from Goulburn and 12km to Yass,HUME HIGHWAY,2,1402,B,"0000002,1402,B1",Physical Seperation,Left,Light Vehicle Only Rest Area,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Both,,,,,,,TRUE,0,,,,,,,,,,,Both Directions,,20250826,,
514,TRUNKEY CREEK,Other,718,Trunkey Creek Rest Area,,,,-33.81763,149.32441,BATHURST REGIONAL,West,53.2km from Bathurst,ARTHUR ST,54,195,A,"0000054,0195,A1",,Right,Light Vehicle Only Rest Area,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Both,,,,,,TRUE,TRUE,0,,,,,,,,,,,Both Directions,,20250826,,
73,BYWONG,Transport for NSW,324,Newton VC Rest Area,,,,-35.1434,149.33436,QUEANBEYAN-PALERANG REGIONAL,South,63km South of Goulburn,FEDERAL HIGHWAY,3,1042,C,"0000003,1042,C1",,Right,Class 5 Heavy Vehicle Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,TRUE,,,Counter,,,,,,,TRUE,0,,,,,,,,,,,Southbound,,20250826,,
213,BENDEMEER,Transport for NSW,1135,Muswell Hill Rest Area,,,Open,-30.80559,151.25573,TAMWORTH REGIONAL,North,54.4km North of Tamworth,NEW ENGLAND HIGHWAY,9,1072,A,"0000009,1072,A2",Physical Seperation,Left,Class 5 Heavy Vehicle Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,TRUE,,,Prescribed,,,,,,,,1,,,,,,,,,,,Eastbound,,20250826,,
840,WEST WYALONG,Council,3115,West Wyalong Lions Club Park,,,,-33.92213,147.1993,BLAND,South,,UNGARIE RD,57,190,A,"0000057,0190,A1",,Left,Light Vehicle Only Rest Area,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Both,,,,,,,TRUE,5,,,,,,,,,,,,,20250826,,TRUE
446,BREDBO,Council,3215,Bredbo Centennial Park,,,,-35.95218,149.14567,SNOWY MONARO REGIONAL,South,At Bredbo,MONARO HIGHWAY,19,1300,A,"0000019,1300,A2",,Left,Light Vehicle Only Rest Area,Light Vehicle Only,,,,,,,,,,,TRUE,TRUE,,,Both,,,,,,TRUE,TRUE,6,,,,,,,,,,,Both Directions,,20250826,,TRUE
369,FORBES,Transport for NSW,1755,Bundaburra Creek Bridge Rest Area,,,,-33.44112,147.90941,FORBES,West,8km South of Forbes,NEWELL HIGHWAY,17,2540,A,"0000017,2540,A2",Physical Seperation,Left,Class 5 Heavy Vehicle Rest Area,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Prescribed,,,,,,,,0,,,,,,,,,,,Both Directions,,20250826,,
441,BOMBALA,Council,3195,Bombala Rest Area Southbound,,,,-36.90849,149.23914,SNOWY MONARO REGIONAL,South,At Bombala,MAHRATTA ST,19,1090,A,"0000019,1090,A2",,Right,Light Vehicle Only Rest Area,Light Vehicle Only,,,,,,,,,,,TRUE,TRUE,,,Both,,,,,,,TRUE,4,,,,,,,,,,,Both Directions,,20250826,,
71,LAKE GEORGE,Transport for NSW,329,Anderson VC Rest Area,,,,-35.10092,149.37427,YASS VALLEY,South,33km North of Canberra,FEDERAL HIGHWAY,3,1042,B,"0000003,1042,B1",,Left,Light Vehicle Only Rest Area,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Both,,,,,TRUE,TRUE,TRUE,8,,,,,,,,,,,Both Directions,,20250826,,TRUE
492,DUNEDOO,Private,4533,Dunedoo West Service Centre,,,Open,-32.01622,149.38784,WARRUMBUNGLE,West,,DUNEDOO-DUBBO RD,27,350,A,"0000027,0350,A1",Physical Seperation,Left,Service Centre,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,TRUE,,,Both,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,20250826,,
91,SPRINGWOOD,Council,940,Buttenshaw Park Faulconbridge,,,,-33.69732,150.55195,BLUE MOUNTAINS,West,69.1km from Lithgow,GREAT WESTERN HWY,5,1281,C,"0000005,1281,C1",,Right,Light Vehicle Only Rest Area,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Counter,,,,,,,,1,,,,,,,,,,,Eastbound,,20250826,,TRUE
109,NORTH YALGOGRIN,Transport for NSW,3017,Yalgogrin Rest Area,,,,-33.84466,146.82883,BLAND,South,36km from West Wyalong and 220km to Hay,MID WESTERN HIGHWAY,6,675,A,"0000006,0675,A1",,Left,Light Vehicle Only Rest Area,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Both,,,,,,,TRUE,0,,,,,,,,,,,Both Directions,,20250826,,
225,COWAN,Transport for NSW,1373,Cowan Rest Area,,,,-33.61148,151.15895,HORNSBY,Greater Sydney,29.4km North start of Pacific Hwy,PACIFIC HWY,10,830,B,"0000010,0830,B1",Physical Seperation,Right,Class 5 Heavy Vehicle Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,,,,Prescribed,,,,,,,,2,,,,,,,,,,,Northbound,,20250826,,
221,DEEPWATER,Transport for NSW,1086,Deepwater Stopping Bay,,,,-29.46653,151.84863,GLEN INNES SEVERN,North,38km North of Glen Innes,NEW ENGLAND HIGHWAY,9,1420,A,"0000009,1420,A2",Main Carriageway,Right,Informal Heavy Rest Areas,HEAVY VEHICLES ONLY,,,,,,,,,,,,TRUE,,,Counter,,,,,,,,0,,,,,,,,,,,Northbound,,20250826,,
124,LARRAS LEE,Transport for NSW,1034,Larras Lee Rest Area,,,,-32.91154,148.8907,CABONNE,West,22km West of Molong,MITCHELL HIGHWAY,7,435,A,"0000007,0435,A2",,Right,Class 4 Heavy Vehicle Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,TRUE,,,Both,,,,,,,TRUE,2,,,,,,,,,,,Both Directions,,20250826,,TRUE
449,FINLEY,Other,3135,McAllister Park,,,Open,-35.63388,145.5746,BERRIGAN,South,,RIVERINA HIGHWAY,20,1410,A,"0000020,1410,A1",Physical Seperation,Right,Light Vehicle Only Rest Area,Light Vehicle Only,,,,,,,,,,,,TRUE,,,Both,,,,,,,TRUE,5,,,,,,,,,,,Northbound,,20250826,,TRUE
338,TENTERFIELD,Other,1799,Market Square Park,,,,-29.0539,152.024,TENTERFIELD,North,126.5km West of Casino,CLARENCE STREET,16,460,A,"0000016,0460,A1",,Left,Class 5 Heavy Vehicle Rest Area,BOTH LIGHT AND HEAVY VEHICLES,,,,,,,,,,,,TRUE,,,Both,,,,,,,TRUE,2,,,,,,,,,,,Both Directions,,20250826,,
